customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score
CS1112,61,15,1012,3,2,2,322
CS1113,35,20,1490,4,3,4,434
CS1114,32,19,1432,4,3,4,434
CS1115,11,22,1659,5,4,5,545
CS1116,203,13,857,1,1,2,112
CS1117,257,17,1185,1,2,3,123
CS1118,2,15,1011,5,2,2,522
CS1119,11,15,1158,5,2,3,523
CS1120,10,24,1677,5,5,5,555
CS1121,41,26,1524,3,5,4,354
CS1122,42,16,1156,3,2,3,323
CS1123,109,19,1331,2,3,3,233
CS1124,73,18,1127,2,3,3,233
CS1125,25,12,885,4,1,2,412
CS1126,179,19,1165,1,3,3,133
CS1127,39,24,1676,4,5,5,455
CS1128,75,26,1921,2,5,5,255
CS1129,106,12,853,2,1,2,212
CS1130,3,19,1185,5,3,3,533
CS1131,20,14,998,4,1,2,412
CS1132,27,16,1074,4,2,2,422
CS1133,23,19,1413,4,3,4,434
CS1134,109,16,1166,2,2,3,223
CS1135,335,20,1267,1,3,3,133
CS1136,27,20,1339,4,3,3,433
CS1137,55,20,1380,3,3,4,334
CS1138,13,24,1863,5,5,5,555
CS1139,111,18,1245,2,3,3,233
CS1140,28,20,1434,4,3,4,434
CS1141,53,25,1778,3,5,5,355
CS1142,161,22,1847,1,4,5,145
CS1143,212,16,1255,1,2,3,123
CS1144,156,18,1222,1,3,3,133
CS1145,142,27,1967,1,5,5,155
CS1146,7,16,1117,5,2,3,523
CS1147,4,15,1004,5,2,2,522
CS1148,83,25,1733,2,5,5,255
CS1149,15,25,1768,5,5,5,555
CS1150,89,14,1075,2,1,2,212
CS1151,26,16,1040,4,2,2,422
CS1152,6,20,1457,5,3,4,534
CS1153,34,18,1274,4,3,3,433
CS1154,0,23,1436,5,4,4,544
CS1155,126,19,1317,2,3,3,233
CS1156,9,20,1445,5,3,4,534
CS1157,19,21,1427,4,4,4,444
CS1158,102,18,1159,2,3,3,233
CS1159,36,22,1439,4,4,4,444
CS1160,44,20,1380,3,3,4,334
CS1161,4,22,1389,5,4,4,544
CS1162,19,24,1815,4,5,5,455
CS1163,38,18,1290,4,3,3,433
CS1164,17,26,2037,5,5,5,555
CS1165,94,20,1335,2,3,3,233
CS1166,98,19,1507,2,3,4,234
CS1167,119,16,1132,2,2,3,223
CS1168,111,14,916,2,1,2,212
CS1169,86,18,1175,2,3,3,233
CS1170,3,18,1272,5,3,3,533
CS1171,1,22,1555,5,4,4,544
CS1172,258,18,1306,1,3,3,133
CS1173,49,21,1429,3,4,4,344
CS1174,23,23,1554,4,4,4,444
CS1175,52,17,1106,3,2,3,323
CS1176,29,18,1401,4,3,4,434
CS1177,38,17,1310,4,2,3,423
CS1178,31,22,1535,4,4,4,444
CS1179,46,29,2091,3,5,5,355
CS1180,54,23,1637,3,4,5,345
CS1181,57,27,1893,3,5,5,355
CS1182,102,24,1749,2,5,5,255
CS1183,12,26,1967,5,5,5,555
CS1184,0,28,1999,5,5,5,555
CS1185,11,27,1801,5,5,5,555
CS1186,52,19,1439,3,3,4,334
CS1187,22,22,1559,4,4,4,444
CS1188,4,16,1010,5,2,2,522
CS1189,63,23,1564,3,4,4,344
CS1190,40,18,1324,3,3,3,333
CS1191,66,21,1522,3,4,4,344
CS1192,38,18,1313,4,3,3,433
CS1193,283,15,953,1,2,2,122
CS1194,9,22,1505,5,4,4,544
CS1195,20,20,1378,4,3,4,434
CS1196,1,23,1559,5,4,4,544
CS1197,161,17,1180,1,2,3,123
CS1198,11,22,1571,5,4,4,544
CS1199,124,20,1344,2,3,3,233
CS1200,170,21,1667,1,4,5,145
CS1201,52,19,1375,3,3,4,334
CS1202,54,20,1331,3,3,3,333
CS1203,48,21,1536,3,4,4,344
CS1204,47,17,1023,3,2,2,322
CS1205,3,17,1103,5,2,3,523
CS1206,157,24,1514,1,5,4,154
CS1207,39,18,1310,4,3,3,433
CS1208,35,15,1000,4,2,2,422
CS1209,2,27,1809,5,5,5,555
CS1210,98,21,1546,2,4,4,244
CS1211,57,18,1218,3,3,3,333
CS1212,158,17,1200,1,2,3,123
CS1213,127,18,1191,2,3,3,233
CS1214,7,19,1289,5,3,3,533
CS1215,133,35,2362,1,5,5,155
CS1216,139,24,1798,1,5,5,155
CS1217,77,20,1431,2,3,4,234
CS1218,37,24,1687,4,5,5,455
CS1219,4,21,1447,5,4,4,544
CS1220,20,9,720,4,1,2,412
CS1221,163,19,1372,1,3,4,134
CS1222,45,21,1585,3,4,4,344
CS1223,53,17,1299,3,2,3,323
CS1224,115,8,578,2,1,1,211
CS1225,47,17,999,3,2,2,322
CS1226,54,18,1213,3,3,3,333
CS1227,25,27,1783,4,5,5,455
CS1228,46,19,1368,3,3,4,334
CS1229,27,19,1194,4,3,3,433
CS1230,5,20,1415,5,3,4,534
CS1231,154,23,1750,1,4,5,145
CS1232,95,20,1452,2,3,4,234
CS1233,115,21,1374,2,4,4,244
CS1234,4,21,1349,5,4,4,544
CS1235,141,22,1507,1,4,4,144
CS1236,42,22,1668,3,4,5,345
CS1237,200,24,1823,1,5,5,155
CS1238,20,26,1808,4,5,5,455
CS1239,252,11,771,1,1,2,112
CS1240,3,30,2126,5,5,5,555
CS1241,28,27,1818,4,5,5,455
CS1242,59,13,943,3,1,2,312
CS1243,38,17,1087,4,2,2,422
CS1244,141,21,1492,1,4,4,144
CS1245,72,19,1321,3,3,3,333
CS1246,295,20,1431,1,3,4,134
CS1247,28,28,1773,4,5,5,455
CS1248,9,17,1172,5,2,3,523
CS1249,89,23,1846,2,4,5,245
CS1250,12,24,1625,5,5,5,555
CS1251,2,14,1035,5,1,2,512
CS1252,107,18,1411,2,3,4,234
CS1253,74,17,1399,2,2,4,224
CS1254,3,21,1599,5,4,5,545
CS1255,67,29,1998,3,5,5,355
CS1256,213,19,1304,1,3,3,133
CS1257,25,15,1050,4,2,2,422
CS1258,25,22,1458,4,4,4,444
CS1259,168,22,1679,1,4,5,145
CS1260,146,26,1941,1,5,5,155
CS1261,87,26,1943,2,5,5,255
CS1262,84,16,1040,2,2,2,222
CS1263,3,14,1096,5,1,2,512
CS1264,3,12,959,5,1,2,512
CS1265,51,14,1128,3,1,3,313
CS1266,39,15,1076,4,2,2,422
CS1267,110,26,1812,2,5,5,255
CS1268,65,27,1946,3,5,5,355
CS1269,68,19,1272,3,3,3,333
CS1270,27,27,1990,4,5,5,455
CS1271,35,25,1683,4,5,5,455
CS1272,17,19,1279,5,3,3,533
CS1273,27,25,1800,4,5,5,455
CS1274,5,20,1381,5,3,4,534
CS1275,0,18,1321,5,3,3,533
CS1276,27,21,1505,4,4,4,444
CS1277,88,17,1142,2,2,3,223
CS1278,109,22,1572,2,4,4,244
CS1279,47,21,1411,3,4,4,344
CS1280,13,21,1262,5,4,3,543
CS1281,12,23,1715,5,4,5,545
CS1282,132,15,1014,1,2,2,122
CS1283,19,22,1683,4,4,5,445
CS1284,5,24,1836,5,5,5,555
CS1285,25,24,1778,4,5,5,455
CS1286,68,21,1511,3,4,4,344
CS1287,190,20,1440,1,3,4,134
CS1288,251,17,1125,1,2,3,123
CS1289,3,19,1355,5,3,4,534
CS1290,96,20,1625,2,3,5,235
CS1291,0,15,1006,5,2,2,522
CS1292,21,18,1307,4,3,3,433
CS1293,74,21,1625,2,4,5,245
CS1294,34,30,2129,4,5,5,455
CS1295,3,22,1487,5,4,4,544
CS1296,12,21,1505,5,4,4,544
CS1297,64,12,765,3,1,2,312
CS1298,44,21,1561,3,4,4,344
CS1299,100,21,1552,2,4,4,244
CS1300,7,18,1309,5,3,3,533
CS1301,25,19,1250,4,3,3,433
CS1302,30,19,1278,4,3,3,433
CS1303,42,22,1634,3,4,5,345
CS1304,79,15,874,2,2,2,222
CS1305,105,16,1031,2,2,2,222
CS1306,4,15,1153,5,2,3,523
CS1307,73,18,1220,2,3,3,233
CS1308,18,21,1487,4,4,4,444
CS1309,64,12,761,3,1,2,312
CS1310,120,15,1103,2,2,3,223
CS1311,34,18,1129,4,3,3,433
CS1312,18,16,1353,4,2,4,424
CS1313,11,29,2072,5,5,5,555
CS1314,519,13,891,1,1,2,112
CS1315,74,15,1030,2,2,2,222
CS1316,29,26,1726,4,5,5,455
CS1317,18,16,1146,4,2,3,423
CS1318,16,22,1693,5,4,5,545
CS1319,88,18,1161,2,3,3,233
CS1320,12,18,1382,5,3,4,534
CS1321,0,21,1668,5,4,5,545
CS1322,5,26,1964,5,5,5,555
CS1323,125,23,1595,2,4,5,245
CS1324,208,24,1611,1,5,5,155
CS1325,203,18,1209,1,3,3,133
CS1326,24,27,1940,4,5,5,455
CS1327,14,23,1525,5,4,4,544
CS1328,218,15,1043,1,2,2,122
CS1329,122,17,1158,2,2,3,223
CS1330,27,23,1750,4,4,5,445
CS1331,10,15,1170,5,2,3,523
CS1332,130,29,2010,1,5,5,155
CS1333,46,8,625,3,1,1,311
CS1334,79,25,1781,2,5,5,255
CS1335,121,17,1157,2,2,3,223
CS1336,108,24,1696,2,5,5,255
CS1337,36,22,1668,4,4,5,445
CS1338,19,18,1436,4,3,4,434
CS1339,59,23,1680,3,4,5,345
CS1340,126,20,1506,2,3,4,234
CS1341,68,13,1038,3,1,2,312
CS1342,1,16,1326,5,2,3,523
CS1343,67,21,1489,3,4,4,344
CS1344,24,25,1638,4,5,5,455
CS1345,100,18,1193,2,3,3,233
CS1346,167,15,1072,1,2,2,122
CS1347,4,30,2000,5,5,5,555
CS1348,58,22,1583,3,4,4,344
CS1349,16,16,1086,5,2,2,522
CS1350,32,27,1996,4,5,5,455
CS1351,122,21,1505,2,4,4,244
CS1352,40,20,1424,3,3,4,334
CS1353,205,19,1408,1,3,4,134
CS1354,407,16,1324,1,2,3,123
CS1355,48,23,1507,3,4,4,344
CS1356,80,24,1740,2,5,5,255
CS1357,153,26,1775,1,5,5,155
CS1358,11,19,1408,5,3,4,534
